CLOUD ID1	CLOUD ID2	y1	y2	yc	yBliss	yLoewe
CLOUD166	CLOUD104	39.13122131	98.44403556	100	0.990529034	1.8
CLOUD114	CLOUD143	84.27757776	89.25430294	100	0.983105161	2.7
CLOUD117	CLOUD264	99.94879672	36.36300704	90.99985737	0.999674158	56.9
CLOUD193	CLOUD071	96.73717693	11.44575694	100	0.971106317	95.5
CLOUD112	CLOUD171	96.94297546	0.32239215	100	0.969528311	97.7
CLOUD112	CLOUD179	96.94297546	98.65510327	100	0.999588862	98.9
CLOUD031	CLOUD049	36.39400064	0.017271008	54.87421934	0.36404986	97.4
CLOUD083	CLOUD102	26.61512503	11.69030422	64.07793385	0.351940402	67.2
CLOUD250	CLOUD129	2.964857381	100	100	1	95.2
CLOUD250	CLOUD128	2.964857381	10.62896364	0	0.132786874	90.3
CLOUD229	CLOUD196	0.294050343	71.74865513	83.21143134	0.718317283	59.6
CLOUD104	CLOUD243	98.44403556	84.97484141	100	0.997662139	1.8
CLOUD196	CLOUD203	71.74865513	24.35133625	99.63655244	0.786282351	59.6
CLOUD222	CLOUD215	0	17.3356167	10.31271786	0.173356167	92.5
CLOUD196	CLOUD207	71.74865513	0	34.46197134	0.717486551	59.6
CLOUD188	CLOUD083	1.596485175	26.61512503	97.78361441	0.277867037	98.9
CLOUD071	CLOUD180	11.44575694	94.77996018	100	0.953774332	99.4
CLOUD071	CLOUD188	11.44575694	1.596485175	19.42415804	0.128595123	98.9
CLOUD071	CLOUD232	11.44575694	50.0790699	0	0.557928982	95
CLOUD071	CLOUD234	11.44575694	26.35059193	28.40801156	0.347803242	98.5
CLOUD179	CLOUD203	98.65510327	24.35133625	100	0.989826036	98.6
CLOUD171	CLOUD243	0.32239215	84.97484141	0	0.850232813	97.7
CLOUD171	CLOUD249	0.32239215	0	6.928199543	0.003223921	97.7
